phon	members
swaNe	soigner soignez soigniez soigné soignée soignées soignés
suliNe	souligner soulignez souligniez souligné soulignée soulignées soulignés
suRi	souri sourie sourient souries souris sourit sourît
sy	su sue suent sues sus sut sût
sybi	subi subie subies subis subit subits subît
tERE	tairai tairaient tairais tairait terrai terraient terrait
tERe	tairez terrer terrez terré terrée terrées terrés
tOR	tord tords tore tores tors tort torts
tuSe	toucher touchers touchez touché touchée touchées touchés
tRije	trier triez trillé trié triée triées triés
ty	tu tue tuent tues tus tut tût
temwaNe	témoigner témoignez témoigniez témoigné témoignée témoignées témoignés
v5	vain vains vin vingt vins vint vînt
vER	vair ver verre verres vers vert verts
vwa	voie voient voies vois voit voix voua
volE	volai volaient volais volait volet volets volley
epaRNe	épargner épargnez épargniez épargné épargnée épargnées épargnés
epise	épicer épicé épicée épicées épicés épisser épissé
abese	abaisser abaissé abaissée abaissées abaissés abc
ab@done	abandonner abandonnez abandonné abandonnée abandonnées abandonnés
abone	abonner abonnez abonné abonnée abonnées abonnés
abORde	aborder abordez abordé abordée abordées abordés
abRite	abriter abritez abrité abritée abritées abrités
apsORbe	absorber absorbez absorbé absorbée absorbées absorbés
abyze	abuser abusez abusé abusée abusées abusés
abime	abîmer abîmez abîmé abîmée abîmées abîmés
akable	accabler accablez accablé accablée accablées accablés
akapaRe	accaparer accaparez accaparé accaparée accaparées accaparés
aksEpte	accepter acceptez accepté acceptée acceptées acceptés
aklame	acclamer acclamez acclamé acclamée acclamées acclamés
ak§pli	accompli accomplie accomplies accomplis accomplit accomplît
akOR	accord accords accore accores accort accorts
akORde	accorder accordez accordé accordée accordées accordés
akuSe	accoucher accouchez accouché accouchée accouchées accouchés
akuRy	accouru accourue accourues accourus accourut accourût
akRoSe	accrocher accrochez accroché accrochée accrochées accrochés
akRy	accru accrue accrues accrus accrut accrût
ak9ji	accueilli accueillie accueillies accueillis accueillit accueillît
akyle	acculer acculez acculé acculée acculées acculés
akymyle	accumuler accumulez accumulé accumulée accumulées accumulés
akyze	accuser accusez accusé accusée accusées accusés
akseleRe	accélérer accélérez accéléré accélérée accélérées accélérés
aSaRne	acharner acharnez acharné acharnée acharnées acharnés
aS	ache aches hache hachent haches hasch
aS°te	acheter achetez acheté achetée achetées achetés
aS°ve	achever achevez achevé achevée achevées achevés
aksjone	actionner actionnez actionné actionnée actionnées actionnés
aktive	activer activez activé activée activées activés
adapte	adapter adaptez adapté adaptée adaptées adaptés
adisjone	additionner additionnez additionné additionnée additionnées additionnés
administRe	administrer administrez administré administrée administrées administrés
admiRe	admirer admirez admiré admirée admirées admirés
adone	adonner adonnez adonné adonnée adonnées adonnés
adOpte	adopter adoptez adopté adoptée adoptées adoptés
adoRe	adorer adorez adoré adorée adorées adorés
adose	adosser adossez adossé adossée adossées adossés
adusi	adouci adoucie adoucies adoucis adoucit adoucît
afale	affaler affalez affalé affalée affalées affalés
afame	affamer affamez affamé affamée affamées affamés
afEkte	affecter affectez affecté affectée affectées affectés
afiSe	afficher affichez affiché affichée affichées affichés
afiRme	affirmer affirmez affirmé affirmée affirmées affirmés
afole	affoler affolez affolé affolée affolées affolés
afR§te	affronter affrontez affronté affrontée affrontées affrontés
afyte	affûter affûtez affûté affûtée affûtées affûtés
agase	agacer agacez agacé agacée agacées agacés
aZ°nuje	agenouiller agenouillez agenouillé agenouillée agenouillées agenouillés
aglytine	agglutiner agglutinez agglutiné agglutinée agglutinées agglutinés
agRave	aggraver aggravez aggravé aggravée aggravées aggravés
aZite	agiter agitez agité agitée agitées agités
agRafe	agrafer agrafez agrafé agrafée agrafées agrafés
agR@di	agrandi agrandie agrandies agrandis agrandit agrandît
agRipe	agripper agrippez agrippé agrippée agrippées agrippés
agRee	agréer agréez agréé agréée agréées agréés
aZute	ajouter ajoutez ajouté ajoutée ajoutées ajoutés
aZyste	ajuster ajustez ajusté ajustée ajustées ajustés
alaRme	alarmer alarmez alarmé alarmée alarmées alarmés
alERte	alerter alertez alerté alertée alertées alertés
aliNe	aligner alignez aligné alignée alignées alignés
alim@te	alimenter alimentez alimenté alimentée alimentées alimentés
al§Ze	allonger allongez allongé allongée allongées allongés
alyme	allumer allumez allumé allumée allumées allumés
aleZe	alléger allégez allégé allégée allégées allégés
aluRdi	alourdi alourdie alourdies alourdis alourdit alourdît
altERne	alterner alternez alterné alternée alternées alternés
alteRe	altérer altérez altéré altérée altérées altérés
amalgame	amalgamer amalgamez amalgamé amalgamée amalgamées amalgamés
amaRe	amarrer amarrez amarré amarrée amarrées amarrés
amase	amasser amassez amassé amassée amassées amassés
amidone	amidonner amidonnez amidonné amidonnée amidonnées amidonnés
amORse	amorcer amorcez amorcé amorcée amorcées amorcés
@plifje	amplifier amplifiez amplifié amplifiée amplifiées amplifiés
@pyte	amputer amputez amputé amputée amputées amputés
amyze	amuser amusez amusé amusée amusées amusés
ameljoRe	améliorer améliorez amélioré améliorée améliorées améliorés
amenaZe	aménager aménagez aménagé aménagée aménagées aménagés
analize	analyser analysez analysé analysée analysées analysés
anEstezje	anesthésier anesthésiez anesthésié anesthésiée anesthésiées anesthésiés
@gwase	angoisser angoissez angoissé angoissée angoissées angoissés
an§se	annoncer annoncez annoncé annoncée annoncées annoncés
anyle	annuler annulez annulé annulée annulées annulés
@tisipe	anticiper anticipez anticipé anticipée anticipées anticipés
apERsy	aperçu aperçue aperçues aperçus aperçut aperçût
apitwaje	apitoyer apitoyez apitoyé apitoyée apitoyées apitoyés
apaRy	apparu apparue apparues apparus apparut apparût
ap°le	appeler appelez appelé appelée appelées appelés
aplodi	applaudi applaudie applaudies applaudis applaudit applaudît
aplike	appliquer appliquez appliqué appliquée appliquées appliqués
apORte	apporter apportez apporté apportée apportées apportés
apoze	apposer apposez apposé apposée apposées apposés
apRivwaze	apprivoiser apprivoisez apprivoisé apprivoisée apprivoisées apprivoisés
apRoSe	approcher approchez approché approchée approchées approchés
apRof§di	approfondi approfondie approfondies approfondis approfondit approfondît
apRuve	approuver approuvez approuvé approuvée approuvées approuvés
apResje	apprécier appréciez apprécié appréciée appréciées appréciés
apRe@de	appréhender appréhendez appréhendé appréhendée appréhendées appréhendés
apate	appâter appâtez appâté appâtée appâtées appâtés
aRme	armer armez armé armée armées armés
aRaSe	arracher arrachez arraché arrachée arrachées arrachés
aR@Ze	arranger arrangez arrangé arrangée arrangées arrangés
aRime	arrimer arrimez arrimé arrimée arrimées arrimés
aRive	arriver arrivez arrivé arrivée arrivées arrivés
aRoze	arroser arrosez arrosé arrosée arrosées arrosés
aRtikyle	articuler articulez articulé articulée articulées articulés
aspERZe	asperger aspergez aspergé aspergée aspergées aspergés
aspiRe	aspirer aspirez aspiré aspirée aspirées aspirés
asasine	assassiner assassinez assassiné assassinée assassinées assassinés
as@ble	assembler assemblez assemblé assemblée assemblées assemblés
asimile	assimiler assimilez assimilé assimilée assimilées assimilés
asiste	assister assistez assisté assistée assistées assistés
asosje	associer associez associé associée associées associés
aswafe	assoiffer assoiffez assoiffé assoiffée assoiffées assoiffés
as§bRi	assombri assombrie assombries assombris assombrit assombrît
asome	assommer assommez assommé assommée assommées assommés
asyme	assumer assumez assumé assumée assumées assumés
asyRe	assurer assurez assuré assurée assurées assurés
aseSe	assécher asséchez asséché asséchée asséchées asséchés
astike	astiquer astiquez astiqué astiquée astiquées astiqués
ataSe	attacher attachez attaché attachée attachées attachés
atake	attaquer attaquez attaqué attaquée attaquées attaqués
ataRde	attarder attardez attardé attardée attardées attardés
at°le	atteler attelez attelé attelée attelées attelés
atiRe	attirer attirez attiré attirée attirées attirés
atize	attiser attisez attisé attisée attisées attisés
atRape	attraper attrapez attrapé attrapée attrapées attrapés
ogm@te	augmenter augmentez augmenté augmentée augmentées augmentés
oRifje	aurifiées horrifier horrifié horrifiée horrifiées horrifiés
ot@tifje	authentifier authentifiez authentifié authentifiée authentifiées authentifiés
otoRize	autoriser autorisez autorisé autorisée autorisées autorisés
avale	avaler avalez avalé avalée avalées avalés
av@se	avancer avancez avancé avancée avancées avancés
av@tyRe	aventurer aventurez aventuré aventurée aventurées aventurés
avERti	averti avertie averties avertis avertit avertît
av9gle	aveugler aveuglez aveuglé aveuglée aveuglées aveuglés
avize	aviser avisez avisé avisée avisées avisés
avORte	avorter avortez avorté avortée avortées avortés
aeRe	aérer aérez aéré aérée aérées aérés
EtR	aître aîtres hêtre hêtres être êtres
ba	bah bas bat bats bât bâts
bat	baht bahts bath batte battent battes
bENE	baignai baignaient baignais baignait beignet beignets
bajE	baillait bayaient bâillai bâillaient bâillais bâillait
beze	baiser baisers baisé baisée baisées baisés
bal	bal bale bales balle balles bals
balade	balader baladez baladé baladée baladées baladés
bal@se	balancer balancez balancé balancée balancées balancés
b@de	bander bandez bandé bandée bandées bandés
batize	baptiser baptisez baptisé baptisée baptisées baptisés
baRe	barrer barrez barré barrée barrées barrés
baRikade	barricader barricadez barricadé barricadée barricadées barricadés
baskyle	basculer basculez basculé basculée basculées basculés
baze	baser basez basé basée basées basés
bo	bau baud baux beau beaux bot
biftEk	beefsteak beefsteaks bifteck biftecks biftèque biftèques
bERne	berner bernez berné bernée bernées bernés
bidone	bidonner bidonnez bidonné bidonnée bidonnées bidonnés
bl5de	blinder blindez blindé blindée blindées blindés
bloke	bloquer bloquez bloqué bloquée bloquées bloqués
bl9fe	bluffer bluffez bluffé bluffée bluffées bluffés
blame	blâmer blâmez blâmé blâmée blâmées blâmés
b§baRde	bombarder bombardez bombardé bombardée bombardées bombardés
b§be	bomber bombez bombé bombée bombées bombés
bORde	border bordez bordé bordée bordées bordés
bORne	borner bornez borné bornée bornées bornés
bukle	boucler bouclez bouclé bouclée bouclées bouclés
bufe	bouffer bouffez bouffé bouffée bouffées bouffés
buR	bour bourg bourgs bourre bourrent bourres
buRe	bourrer bourrez bourré bourrée bourrées bourrés
buskyle	bousculer bousculez bousculé bousculée bousculées bousculés
butone	boutonner boutonnez boutonné boutonnée boutonnées boutonnés
bR@Se	brancher branchez branché branchée branchées branchés
bRakE	braquai braquaient braquais braquait braquet braquets
bRake	braquer braquez braqué braquée braquées braqués
bRase	brasser brassez brassé brassée brassées brassés
bRikole	bricoler bricolez bricolé bricolée bricolées bricolés
bRide	brider bridez bridé bridée bridées bridés
bRike	briquer briquez briqué briquée briquées briqués
bRize	briser brisez brisé brisée brisées brisés
bRode	broder brodez brodé brodée brodées brodés
bRose	brosser brossez brossé brossée brossées brossés
bRuje	brouiller brouillez brouillé brouillée brouillées brouillés
bRwaje	broyer broyez broyé broyée broyées broyés
bRytalize	brutaliser brutalisez brutalisé brutalisée brutalisées brutalisés
bRyle	brûler brûlez brûlé brûlée brûlées brûlés
by	bu bue bues bus but bût
bakle	bâcler bâclez bâclé bâclée bâclées bâclés
beni	béni bénie bénies bénis bénit bénits
kaSE	cachai cachaient cachais cachait cachet cachets
kaSER	cachère cachèrent cascher casher kascher kasher
kaje	cahier cahiers cailler caillé caillée caillées
kalkyle	calculer calculez calculé calculée calculées calculés
kalibRe	calibrer calibrez calibré calibrée calibrées calibrés
kaligRafje	calligraphier calligraphiez calligraphié calligraphiée calligraphiées calligraphiés
kalme	calmer calmez calmé calmée calmées calmés
k@bRe	cambrer cambrez cambré cambrée cambrées cambrés
kame	camer camez camé camée camées camés
kamufle	camoufler camouflez camouflé camouflée camouflées camouflés
k@pe	camper campez campé campée campées campés
kana	cana canas canna cannas kana khanat
kanalize	canaliser canalisez canalisé canalisée canalisées canalisés
k@tone	cantonner cantonnez cantonné cantonnée cantonnées cantonnés
kapte	capter captez capté captée captées captés
kaptyRe	capturer capturez capturé capturée capturées capturés
kaRje	carier carié cariée cariées carrier carriers
kaRe	carrer carré carrée carrées carrés quarrez
kaske	casquer casquez casqué casquée casquées casqués
kase	casser cassez cassé cassée cassées cassés
koze	causer causez causé causée causées causés
s5tyRe	ceinturer ceinturez ceinturé ceinturée ceinturées ceinturés
s@syRe	censurer censurez censuré censurée censurées censurés
sERne	cerner cernez cerné cernée cernées cernés
sERtifje	certifier certifiez certifié certifiée certifiées certifiés
Sayte	chahuter chahutez chahuté chahutée chahutées chahutés
Saman	chaman chamane chamanes chamans shaman shamans
S@bule	chambouler chamboulez chamboulé chamboulée chamboulées chamboulés
S@Ze	changer changez changé changée changées changés
S@te	chanter chantez chanté chantée chantées chantés
SaRkyte	charcuter charcutez charcuté charcutée charcutées charcutés
SaRZe	charger chargez chargé chargée chargées chargés
SaRje	charrier charriez charrié charriée charriées charriés
Sase	chasser chassez chassé chassée chassées chassés
Satuje	chatouiller chatouillez chatouillé chatouillée chatouillées chatouillés
So	chaud chauds chaut chaux show shows
Sofe	chauffer chauffez chauffé chauffée chauffées chauffés
Some	chaumé chômer chômez chômé chômée chômés
Sose	chausser chaussez chaussé chaussée chaussées chaussés
SEk	cheik cheikh cheiks chèque chèques scheik
SERSe	chercher cherchez cherché cherchée cherchées cherchés
SeRi	cherry chéri chérie chéries chéris chérit
S°voSe	chevaucher chevauchez chevauché chevauchée chevauchées chevauchés
Sje	chier chiez chié chiée chiées chiés
Sipe	chiper chipez chipé chipée chipées chipés
SnOk	chnoque chnoques schnock schnocks schnoque schnoques
Swazi	choisi choisie choisies choisis choisit choisît
SOp	chope chopent chopes choppe choppent choppes
Soke	choquer choquez choqué choquée choquées choqués
koRal	choral chorale chorales chorals corral corrals
Swaje	choyer choyez choyé choyée choyées choyés
kRonometRe	chronométrer chronométrez chronométré chronométrée chronométrées chronométrés
SySote	chuchoter chuchotez chuchoté chuchotée chuchotées chuchotés
sible	cibler ciblez ciblé ciblée ciblées ciblés
sikatRize	cicatriser cicatrisez cicatrisé cicatrisée cicatrisées cicatrisés
siR	cire cirent cires sir sire sires
siRe	cirer cirez ciré cirée cirées cirés
site	citer citez cité citée citées cités
klER	clair claire claires clairs clerc clercs
klake	claquer claquez claqué claquée claquées claqués
klase	classer classez classé classée classées classés
klue	clouer clouez cloué clouée clouées cloués
kokaR	cocard cocards coquard coquards coquart coquarts
kofRe	coffrer coffrez coffré coffrée coffrées coffrés
koNe	cogner cognez cogné cognée cognées cognés
kwafe	coiffer coiffez coiffé coiffée coiffées coiffés
kw5se	coincer coincez coincé coincée coincées coincés
kolEkte	collecter collectez collecté collectée collectées collectés
kOlmate	colmater colmatez colmaté colmatée colmatées colmatés
kolonize	coloniser colonisez colonisé colonisée colonisées colonisés
koloRe	colorer colorez coloré colorée colorées colorés
koloRje	colorier coloriez colorié coloriée coloriées coloriés
k§bine	combiner combinez combiné combinée combinées combinés
k§ble	combler comblez comblé comblée comblées comblés
kom@de	commander commandez commandé commandée commandées commandés
