phon	members
kRedyl	crédule crédules
kRedylite	crédulité crédulités
kReR§	créerons créeront
kRemajER	crémaillère crémaillères
kRemasj§	crémation crémations
kRematwaR	crématoire crématoires
kReme	crémer crémés
kREm°Ri	crémerie crémeries
kRem2z	crémeuse crémeuses
kRemje	crémier crémiers
kRemjER	crémière crémières
kReno	créneau créneaux
kReOl	créole créoles
kRepinEt	crépinette crépinettes
kRepitE	crépitaient crépitait
kRepit@	crépitant crépitants
kRepit@t	crépitante crépitantes
kRepit	crépite crépitent
kRepit°m@	crépitement crépitements
kRepite	crépiter crépité
kRep§	crépon crépons
kRepyskylER	crépusculaire crépusculaires
kRepyskyl	crépuscule crépuscules
kRetase	crétacé crétacée
kRet5	crétin crétins
kRetin°Ri	crétinerie crétineries
kRetinize	crétiniser crétinisé
kRetwaz	crétoise crétoises
kREpaZ	crêpage crêpages
kREpE	crêpaient crêpait
kREp	crêpe crêpes
kREp°le	crêpelées crêpelés
kREt	crête crêtes
kwadRija	cuadrilla cuadrillas
kybaZ	cubage cubages
kyb5	cubain cubains
kybEn	cubaine cubaines
kyb	cube cubes
kybik	cubique cubiques
kybist	cubiste cubistes
kybital	cubital cubitale
kykyRbit	cucurbite cucurbites
k9j°Ra	cueillera cueilleras
k9jEt	cueillette cueillettes
k9j9R	cueilleur cueilleurs
k9j2z	cueilleuse cueilleuses
k9jiR	cueillir cueillirent
k8ijeRe	cuillerée cuillerées
k8iRa	cuira cuiras
k8iRE	cuirai cuirait
k8iRasE	cuirassaient cuirassait
k8iRasje	cuirassier cuirassiers
k8izE	cuisaient cuisait
k8iz@	cuisant cuisants
k8iz@t	cuisante cuisantes
k8izin°Ra	cuisinera cuisineras
k8izinjER	cuisinière cuisinières
k8isaR	cuissard cuissards
k8is	cuisse cuisses
k8isEt	cuissette cuissettes
k8is§	cuisson cuissons
k8ist@s	cuistance cuistances
k8isto	cuistot cuistots
k8istR	cuistre cuistres
k8istR°Ri	cuistrerie cuistreries
k8it	cuite cuites
k8ite	cuiter cuité
k8ivR	cuivre cuivres
kybl@	cul-blanc culs-blancs
kybeni	cul-bénit culs-bénits
kyd°basfos	cul-de-basse-fosse culs-de-basse-fosse
kyd°Zat	cul-de-jatte culs-de-jatte
kyd°l@p	cul-de-lampe culs-de-lampe
kydsak	cul-de-sac culs-de-sac
kytER2	cul-terreux culs-terreux
kylas	culasse culasses
kylbytE	culbutaient culbutait
kylbyt9R	culbuteur culbuteurs
kylinER	culinaire culinaires
kylmin@	culminant culminants
kylmin	culmine culminent
kylmine	culminer culminé
kylo	culot culots
kylOt	culotte culottes
kylotje	culottier culottiers
kylotjER	culottière culottières
kylpabilizE	culpabilisais culpabilisait
kylt	culte cultes
kyltivabl	cultivable cultivables
kyltivat9R	cultivateur cultivateurs
kyltivatRis	cultivatrice cultivatrices
kyltiv°Ra	cultivera cultiveras
kyltyR	culture cultures
kyltyRist	culturiste culturistes
kymyl	cumul cumule
kymylE	cumulaient cumulait
kymylatif	cumulatif cumulatifs
kyneifORm	cunéiforme cunéiformes
kypid	cupide cupides
kypid§	cupidon cupidons
kypyl	cupule cupules
kyRabl	curable curables
kyRatif	curatif curatifs
kyRativ	curative curatives
kyRasao	curaçao curaçaos
kyR	cure cures
kyRd@	cure-dent cure-dents
kyRpip	cure-pipe cure-pipes
kyR°t§	cureton curetons
kyREt	curette curettes
kyRjal	curial curiales
kyRi	curie curry
kyRj2z	curieuse curieuses
kyRjozite	curiosité curiosités
kyRist	curiste curistes
kyRviliN	curviligne curvilignes
kyti	cuti cutis
kytikyl	cuticule cuticules
kytER	cutter cutters
kyvE	cuvaient cuvait
kyvo	cuveau cuveaux
kyvEt	cuvette cuvettes
kyvje	cuvier cuviers
sj@	cyan sciant
sjanoze	cyanosé cyanosée
sibERnetik	cybernétique cybernétiques
siklabl	cyclable cyclables
siklamEn	cyclamen cyclamens
siklik	cyclique cycliques
siklist	cycliste cyclistes
siklopus	cyclo-pousse cyclopousses
siklomot9R	cyclomoteur cyclomoteurs
siklon	cyclone cyclones
siklOp	cyclope cyclopes
siklope5	cyclopéen cyclopéens
siklopeEn	cyclopéenne cyclopéennes
sil5dR	cylindre cylindres
sil5dRik	cylindrique cylindriques
s5bal	cymbale cymbales
s5balist	cymbaliste cymbalistes
sinik	cynique cyniques
sinizm	cynisme cynismes
sinosefal	cynocéphale cynocéphales
sino	cynos sino
sineZetik	cynégétique cynégétiques
sipR5	cyprin cyprins
sipRinide	cyprinidé cyprinidés
sipRijOt	cypriote cypriotes
siRaR	cyrard cyrards
siRilik	cyrillique cyrilliques
kzaR	czar czars
kablaZ	câblage câblages
kabl	câble câbles
kabl9R	câbleur câbleurs
kal5	câlin câlins
kalin°Ri	câlinerie câlineries
kapR	câpre câpres
sEd	cède cèdent
sEdR	cèdre cèdres
se@	céans séant
seda	céda cédât
sed°Ra	cédera céderas
sed°R§	céderons céderont
sedRa	cédrat cédrats
seZetist	cégétiste cégétistes
selEst	céleste célestes
selEst5	célestin célestins
selibatER	célibataire célibataires
selebRa	célébra célébrât
selebR@	célébrant célébrants
selebRasj§	célébration célébrations
selebR°RE	célébrerais célébrerait
selebR°R§	célébrerons célébreront
selebRite	célébrité célébrités
senakl	cénacle cénacles
senobit	cénobite cénobites
sefaloRaSidj5	céphalo-rachidien céphalorachidien
sefalopOd	céphalopode céphalopodes
sefale	céphalée céphalées
sepe	cépée cépées
seRamik	céramique céramiques
seRyle5	céruléen céruléens
seReal	céréale céréales
seRealje	céréalier céréaliers
seRealjER	céréalière céréalières
seRebEl2z	cérébelleuse cérébelleuses
seRemoni	cérémonie cérémonies
seRemonjEl	cérémoniel cérémoniels
seRemonj2z	cérémonieuse cérémonieuses
sezaR	césar césars
sezaRj5	césarien césariens
sezaRjEn	césarienne césariennes
sezyR	césure césures
setase	cétacé cétacés
setwan	cétoine cétoines
sezig	cézigue sézigue
kon	cône cônes
kot	côte côtes
kot°lEt	côtelette côtelettes
kot°le	côtelé côtelée
kotje	côtier côtiers
kotjER	côtière côtières
dabyS	dabuche dabuches
das	dace daces
daktil	dactyle dactyles
daktilo	dactylo dactylos
daktilogRaf	dactylographe dactylographes
dada	dada dadas
dadaist	dadaïste dadaïstes
dag	dague dagues
dagEReotip	daguerréotype daguerréotypes
dagE	daguet daguets
dalja	dahlia dahlias
day	dahu dahus
dENa	daigna daignât
dENE	daignaient daignait
deNe	daigner daigné
dEN°Ra	daignera daigneras
d5	daim daims
dalaZ	dallage dallages
dalmat	dalmate dalmates
dalmasj5	dalmatien dalmatiens
dalmatik	dalmatique dalmatiques
daltonj5	daltonien daltoniens
daltonjEn	daltonienne daltoniennes
damask5	damasquin damasquins
damZan	dame-jeanne dames-jeannes
damje	damier damiers
danabl	damnable damnables
danasj§	damnation damnations
dan°RE	damneraient damnerais
damwazEl	damoiselle damoiselles
d@siG	dancing dancings
d@din	dandine dandinent
d@din°m@	dandinement dandinements
d@di	dandy dandys
d@Ze	danger dangers
d@Z°R2z	dangereuse dangereuses
danwaz	danoise danoises
d@s@	dansant dansants
d@s@t	dansante dansantes
d@s°Ra	dansera danseras
d@s°R§	danserons danseront
d@s9R	danseur danseurs
d@s2z	danseuse danseuses
d@tEsk	dantesque dantesques
danybjEn	danubienne danubiennes
daR	dard dards
daRdE	dardaient dardait
daRd	darde dardent
daRdaR	dare dare dare-dare
daR§	daron darons
daROn	daronne daronnes
datE	dataient datait
datSa	datcha datchas
datje	dattier dattiers
datyRa	datura daturas
dob	daube daubes
dobe	dauber daubé
dof5	dauphin dauphins
dofin	dauphine dauphines
dil9R	dealer dealers
dile	dealez dealé
deka	decca déca
d°gRe	degré degrés
dElfinjOm	delphinium delphiniums
dElta	delta deltas
dEltaplan	delta-plane deltaplane
dEltoid	deltoïde deltoïdes
d°m5	demain demains
d°m@da	demanda demandât
d°m@d°Ra	demandera demanderas
d°m@d°R§	demanderons demanderont
d°m@d9R	demandeur demandeurs
d°m9Ra	demeura demeurât
d°m9R°Ra	demeurera demeureras
d°m9R°R§	demeurerons demeureront
d°mibRigad	demi-brigade demi-brigades
d°misERkl	demi-cercle demi-cercles
d°midj2	demi-dieu demi-dieux
d°midevEty	demi-dévêtu demi-dévêtue
d°mifinal	demi-finale demi-finales
d°mifRER	demi-frère demi-frères
d°mi9R	demi-heure demi-heures
d°miZuRne	demi-journée demi-journées
d°milyn	demi-lune demi-lunes
d°mim°zyR	demi-mesure demi-mesures
d°mim§dEn	demi-mondaine demi-mondaines
d°mimOR	demi-mort demi-morts
d°mip@sjonER	demi-pensionnaire demi-pensionnaires
d°mipORsj§	demi-portion demi-portions
d°misEz§	demi-saison demi-saisons
d°mis@	demi-sang demi-sangs
d°misEl	demi-sel demi-sels
d°misjEkl	demi-siècle demi-siècles
d°mis9R	demi-soeur demi-soeurs
d°misOld	demi-solde demi-soldes
d°misomEj	demi-sommeil demi-sommeils
d°misuRiR	demi-sourire demi-sourires
d°mit5t	demi-teinte demi-teintes
d°mit§	demi-ton demi-tons
d°mituR	demi-tour demi-tours
d°mivi	demi-vie demi-vies
d°mivjERZ	demi-vierge demi-vierges
d°mwazEl	demoiselle demoiselles
d°nje	denier deniers
d@Re	denrée denrées
d@site	densité densités
d@tER	dentaire dentaires
d@tEl	dentelle dentelles
d@tje	dentier dentiers
d@tifRis	dentifrice dentifrices
d@tist	dentiste dentistes
d@tisj§	dentition dentitions
d@tyR	denture dentures
dER	der ders
dERbi	derby derbys
dERS	derche derches
dERmatoloZik	dermatologique dermatologiques
dERmatoz	dermatose dermatoses
dERmik	dermique dermiques
dERmit	dermite dermites
dERnje	dernier derniers
dERnjene	dernier-né derniers-nés
dERnjER	dernière dernières
dERik	derrick derricks
dERjER	derrière derrières
dERviS	derviche derviches
des@d@s	descendance descendances
des@d@	descendant descendants
des@d@t	descendante descendantes
des@d9R	descendeur descendeurs
des@dRa	descendra descendras
des@dR§	descendrons descendront
deskRiptibl	descriptible descriptibles
deskRiptif	descriptif descriptifs
deskRipsj§	description descriptions
deskRiptiv	descriptive descriptives
dedit	desdites dédite
dizajn	design designs
despeRado	desperado desperados
despOt	despote despotes
despotik	despotique despotiques
dekEl	desquelles desquels
desalE	dessalaient dessalait
desele	desseller dessellé
desERa	desserra desserrât
desER°RE	desserreraient desserrerait
desERt	desserte dessertes
desERvE	desservaient desservait
desERv	desserve desservent
desina	dessina dessinât
desinat9R	dessinateur dessinateurs
desES	dessèche dessèchent
dest5	destin destins
destinatER	destinataire destinataires
destinasj§	destination destinations
destRije	destrier destriers
destRwaje	destroyer destroyers
destRykt9R	destructeur destructeurs
destRyktif	destructif destructifs
destRyksj§	destruction destructions
destRyktRis	destructrice destructrices
dEt	dette dettes
d9j	deuil deuils
d2zjo	deusio deuzio
d2zjEm	deuxième deuxièmes
d°v@s	devance devancent
d°v@	devant devants
d°v@tyR	devanture devantures
d°vj5dRa	deviendra deviendras
d°vj5dR§	deviendrons deviendront
d°vj5	deviens devient
d°vina	devina devinât
d°vin°Ra	devinera devineras
d°vin°REs	devineresse devineresses
d°vinEt	devinette devinettes
d°v5s	devinsse devinssent
d°vize	deviser devisé
d°vwaR	devoir devoirs
d°vRa	devra devras
d°vR§	devrons devront
djabl	diable diables
djabl°Ri	diablerie diableries
djablEs	diablesse diablesses
djablot5	diablotin diablotins
djabolik	diabolique diaboliques
djabolo	diabolo diabolos
djabEt	diabète diabètes
djabetik	diabétique diabétiques
djakonEs	diaconesse diaconesses
djakR	diacre diacres
djadEm	diadème diadèmes
djagRam	diagramme diagrammes
djalEktal	dialectal dialectale
djalEkt	dialecte dialectes
djalEktisj5	dialecticien dialecticiens
djalEktik	dialectique dialectiques
djalogist	dialoguiste dialoguistes
djaliz	dialyse dialyses
djam	diam diams
djam@	diamant diamants
djam@tER	diamantaire diamantaires
djam@t5	diamantin diamantins
djam@tin	diamantine diamantines
djan	diane dianes
djapaz§	diapason diapasons
djafan	diaphane diaphanes
djafRagm	diaphragme diaphragmes
djapo	diapo diapos
djapozitiv	diapositive diapositives
djaRe	diarrhée diarrhées
djaspoRa	diaspora diasporas
djastOl	diastole diastoles
djastolik	diastolique diastoliques
djatome	diatomée diatomées
djatRib	diatribe diatribes
diko	dico dicos
diktafOn	dictaphone dictaphones
diktat9R	dictateur dictateurs
diktatyR	dictature dictatures
diksjonER	dictionnaire dictionnaires
dikt§	dicton dictons
didaktik	didactique didactiques
djEpwaz	dieppoise dieppoises
djezEl	diesel diesels
dj2	dieu dieux
difamat9R	diffamateur diffamateurs
difamasj§	diffamation diffamations
difamatwaR	diffamatoire diffamatoires
difam	diffame diffament
difisil	difficile difficiles
difikylte	difficulté difficultés
difORm	difforme difformes
difORmite	difformité difformités
difRakte	diffractée difracter
difyz°R§	diffuserons diffuseront
difyz9R	diffuseur diffuseurs
difyzj§	diffusion diffusions
difER	diffère diffèrent
difeRa	différa différât
difeR@s	différence différences
difeR@sjasj§	différenciation différenciations
difeR@si	différencie différencient
difeR@t	différente différentes
difeR°RE	différerais différerait
diZEstif	digestif digestifs
diZEstj§	digestion digestions
diZEstiv	digestive digestives
diZitalize	digitalisée digitalisées
diN	digne dignes
diNitER	dignitaire dignitaires
diNite	dignité dignités
digResj§	digression digressions
diZER	digère digèrent
diZeRa	digéra digérât
dilapid	dilapide dilapides
dilata	dilata dilatât
dilatE	dilataient dilatait
dilatat9R	dilatateur dilatateurs
dilatasj§	dilatation dilatations
dilat	dilate dilatent
dilatwaR	dilatoire dilatoires
dilEm	dilemme dilemmes
diliZ@s	diligence diligences
diliZ@	diligent diligents
diliZ@t	diligente diligentes
dil8E	diluaient diluait
dily	dilue diluent
dilyvjEn	diluvienne diluviennes
dim@S	dimanche dimanches
dim@sj§	dimension dimensions
dimin8a	diminua diminuât
diminy	diminue diminuent
diminytif	diminutif diminutifs
diminysj§	diminution diminutions
dinaR	dinar dinars
d5d	dinde dindes
d5d§	dindon dindons
d5dono	dindonneau dindonneaux
d5go	dingo dingos
d5ge	dinguer dingué
d5g°Ri	dinguerie dingueries
dinozoR	dinosaure dinosaures
diokletjEn	dioclétienne dioclétiennes
djosEz	diocèse diocèses
djonizjak	dionysiaque dionysiaques
djoRama	diorama dioramas
dift§g	diphtongue diphtongues
diplomat	diplomate diplomates
diplomatik	diplomatique diplomatiques
diplom	diplôme diplômes
dipn2st	dipneuste dipneustes
diRa	dira diras
diREkt9R	directeur directeurs
diREksj§	direction directions
diREktiv	directive directives
diREkto	directo directos
diREktoRjal	directorial directoriale
diREktRis	directrice directrices
diRam	dirham dirhams
diRiZa	dirigea dirigeât
diRiZabl	dirigeable dirigeables
diRiZ@	dirigeant dirigeants
diRiZ@t	dirigeante dirigeantes
diRiZ°Ra	dirigera dirigeras
diRiZ°R§	dirigerons dirigeront
diRim@	dirimant dirimants
diRlo	dirlo dirlos
diR§	dirons diront
diz@	disant disants
diskal	discal discale
disERna	discerna discernât
disERnabl	discernable discernables
disipl	disciple disciples
disiplinER	disciplinaire disciplinaires
disiplin	discipline disciplines
disko	disco discos
diskobOl	discobole discoboles
diskORd@s	discordance discordances
diskORd@	discordant discordants
diskORd@t	discordante discordantes
diskORd	discorde discordes
diskotEk	discothèque discothèques
diskuRE	discouraient discourait
diskuR9R	discoureur discoureurs
diskuRtwaz	discourtoise discourtoises
diskuRy	discouru discourut
diskRE	discret discrets
diskRimin@	discriminant discriminants
diskRiminasj§	discrimination discriminations
diskRimine	discriminer discriminé
diskREt	discrète discrètes
diskResjonER	discrétionnaire discrétionnaires
diskylp	disculpe disculpent
diskysj§	discussion discussions
diskyta	discuta discutât
diskytabl	discutable discutables
diskytajE	discutaillaient discutaillait
diskytaj	discutaille discutaillent
diskyt°R§	discuterons discuteront
dizEt	disette disettes
diz9R	diseur diseurs
diz2z	diseuse diseuses
disgRasjE	disgraciaient disgraciait
disgRasj2z	disgracieuse disgracieuses
disgRas	disgrâce disgrâces
disZw5	disjoint disjoints
disZw5t	disjointe disjointes
disZ§kt9R	disjoncteur disjoncteurs
diZ§kte	disjonctez disjonctés
disZ§ksj§	disjonction disjonctions
dislokasj§	dislocation dislocations
disloka	disloqua disloquât
dislOk	disloque disloquent
dispaRE	disparais disparaît
dispaRat	disparate disparates
dispaREtRa	disparaîtra disparaîtras
dispaREtR§	disparaîtrons disparaîtront
dispaRisj§	disparition disparitions
dispatSE	dispatchais dispatchait
disp@sa	dispensa dispensât
disp@sat9R	dispensateur dispensateurs
disp@satRis	dispensatrice dispensatrices
dispERsa	dispersa dispersât
dispERsE	dispersaient dispersait
dispERs°R§	disperserons disperseront
dispERsj§	dispersion dispersions
dispo	dispo dispos
disponibilite	disponibilité disponibilités
disponibl	disponible disponibles
dispoz°Ra	disposera disposeras
dispoz°R§	disposerons disposeront
dispozitif	dispositif dispositifs
dispozisj§	disposition dispositions
dispRopORsj§	disproportion disproportions
dispyta	disputa disputât
dispyt°R§	disputerons disputeront
diskER	disquaire disquaires
diskalifikasj§	disqualification disqualifications
diskalifi	disqualifie disqualifient
disk	disque disques
diseksj§	dissection dissections
dis@blabl	dissemblable dissemblables
dis@sj§	dissension dissensions
dis	dissent dix
dis@tim@	dissentiment dissentiments
disERtasj§	dissertation dissertations
disERte	disserter disserté
disid@s	dissidence dissidences
disid@	dissident dissidents
disid@t	dissidente dissidentes
disimyla	dissimula dissimulât
disimylat9R	dissimulateur dissimulateurs
disimylasj§	dissimulation dissimulations
disimylatRis	dissimulatrice dissimulatrices
disipE	dissipaient dissipait
disipat9R	dissipateur dissipateurs
disipasj§	dissipation dissipations
disip	dissipe dissipent
disip°RE	dissiperais dissiperait
disosjE	dissociaient dissociait
disosjatif	dissociatif dissociatifs
disosjasj§	dissociation dissociations
disosi	dissocie dissocient
disOlvE	dissolvaient dissolvait
disOlv@	dissolvant dissolvants
disOlv@t	dissolvante dissolvantes
dison@s	dissonance dissonances
dison@	dissonant dissonants
disudRE	dissoudrai dissoudrait
disu	dissous dissout
disut	dissoute dissoutes
dis8adE	dissuadai dissuadait
dis8ad	dissuade dissuadent
disyad°Ra	dissuadera dissuaderas
disimetRik	dissymétrique dissymétriques
disEk	dissèque dissèquent
disekE	disséquai disséquait
disek°RE	disséqueraient disséquerais
distal	distal distale
dist@sje	distancier distancié
dist@t	distante distantes
dist@dE	distendaient distendait
dist@d	distende distendent
distilE	distillaient distillait
distilasj§	distillation distillations
distil	distille distillent
distil°Ri	distillerie distilleries
dist5	distinct distincts
dist5kt	distincte distinctes
dist5ktif	distinctif distinctifs
dist5ksj§	distinction distinctions
dist5ktiv	distinctive distinctives
dist5ga	distingua distinguât
dist5g°RE	distingueraient distinguerait
dist5go	distinguo distinguos
distORsj§	distorsion distorsions
distRaksj§	distraction distractions
distRERE	distrairaient distrairait
distREt	distraite distraites
distREj@	distrayant distrayants
distREj@t	distrayante distrayantes
distRib8a	distribua distribuât
distRibyR§	distribuerons distribueront
distRibyt9R	distributeur distributeurs
distRibysj§	distribution distributions
distRikt	district districts
ditiR@b	dithyrambe dithyrambes
ditiR@bik	dithyrambique dithyrambiques
djyRn	diurne diurnes
djyRetik	diurétique diurétiques
diva	diva divas
divagasj§	divagation divagations
divagE	divaguaient divaguait
div@	divan divans
divERZ	diverge divergent
divERZE	divergeaient divergeait
divERZ@s	divergence divergences
divERZ@t	divergente divergentes
divERs	diverse diverses
divERsifi	diversifie diversifient
divERsj§	diversion diversions
divERsite	diversité diversités
divERtiR	divertir divertirent
divERtiR§	divertirons divertiront
divERtis@	divertissant divertissants
divERtis@t	divertissante divertissantes
divERtis°m@	divertissement divertissements
divid@d	dividende dividendes
div5	divin divins
divinasj§	divination divinations
divinatwaR	divinatoire divinatoires
divinatRis	divinatrice divinatrices
divin	divine divines
divinite	divinité divinités
diviz°RE	diviserais diviserait
divizibl	divisible divisibles
divizj§	division divisions
divizjonER	divisionnaire divisionnaires
divORs°Ra	divorcera divorceras
divORs°R§	divorcerons divorceront
divORsE	divorçaient divorçait
dizjEm	dixième dixièmes
dizEn	dizaine dizaines
djEdR	dièdre dièdres
djEz	dièse dièses
djetetisj5	diététicien diététiciens
djetetik	diététique diététiques
dZebEl	djebel djebels
dZiad	djihad djihads
do	do dos
dobERman	doberman dobermans
dosil	docile dociles
dOkt	docte doctes
dOkt9R	docteur docteurs
dOktoRal	doctoral doctorale
dOktoRa	doctorat doctorats
dOktRinER	doctrinaire doctrinaires
dOktRin	doctrine doctrines
dokym@	document documents
dokym@tER	documentaire documentaires
dokym@tE	documentais documentait
dokym@talist	documentaliste documentalistes
dokym@taRist	documentariste documentaristes
dokym@tasj§	documentation documentations
dod°lin@t	dodelinante dodelinantes
dod°lin	dodeline dodelinent
dod°line	dodeliner dodeliné
dodo	dodo dodos
dogaREs	dogaresse dogaresses
dOZ	doge doges
dOgmatik	dogmatique dogmatiques
dOgm	dogme dogmes
dOg	dogue dogues
dwate	doigter doigté
dol@t	dolente dolentes
dolikosefal	dolichocéphale dolichocéphales
dolaR	dollar dollars
dOlm@	dolman dolmans
dOlmEn	dolmen dolmens
dole@s	doléance doléances
domEn	domaine domaines
domanjal	domanial domaniale
domEstik	domestique domestiques
domisil	domicile domiciles
domina	domina dominât
domin@	dominant dominants
domin@t	dominante dominantes
dominat9R	dominateur dominateurs
dominasj§	domination dominations
dominatRis	dominatrice dominatrices
domin°Ra	dominera domineras
domin°R§	dominerons domineront
dominik5	dominicain dominicains
dominikEn	dominicaine dominicaines
domino	domino dominos
domaZ	dommage dommages
domaZabl	dommageable dommageables
d§ptE	domptai domptait
d§pt	dompte domptent
d§pt°RE	dompterai dompterait
d§pt9R	dompteur dompteurs
d§pt2z	dompteuse dompteuses
donat9R	donateur donateurs
donasj§	donation donations
d§dEn	dondaine dondaines
d§d§	dondon dondons
d§g	dong dôngs
d§Z§	donjon donjons
dOn°Ra	donnera donneras
dOn°R§	donnerons donneront
don9R	donneur donneurs
don2z	donneuse donneuses
d§kiSOtEsk	donquichottesque donquichottesques
d§zEl	donzelle donzelles
dopE	dopais dopait
dOp	dope dopes
doRik	dorique doriques
dORlOt	dorlote dorlotent
dORm@	dormant dormants
dORm@t	dormante dormantes
dORm9R	dormeur dormeurs
dORm2z	dormeuse dormeuses
dORmiR	dormir dormirent
dORmiRa	dormira dormiras
dORmiR§	dormirons dormiront
dORtwaR	dortoir dortoirs
dORyR	dorure dorures
doRifOR	doryphore doryphores
dozaZ	dosage dosages
doz9R	doseur doseurs
dosaR	dossard dossards
dosje	dossier dossiers
dosjER	dossière dossières
dotE	dotaient dotait
dwERjER	douairière douairières
dwan	douane douanes
dwanje	douanier douaniers
dwanjER	douanière douanières
dwaR	douar douars
dubla	doubla doublât
dublaZ	doublage doublages
dublaR	doublard doublards
dublo	doubleau doubleaux
dubl2z	doubleuse doubleuses
dubl§	doublon doublons
dublyR	doublure doublures
dus	douce douces
dusamER	douce-amère douces-amères
dus°R2z	doucereuse doucereuses
dus9R	douceur douceurs
duSE	douchais douchait
duS°Ra	douchera doucheras
dus5	doucin doucins
dudun	doudoune doudounes
dwEl	douelle douelles
dujEt	douillette douillettes
dul9R	douleur douleurs
duluR2z	douloureuse douloureuses
duRo	douro douros
duta	douta doutât
dut@s	doutance doutances
dut°Ra	doutera douteras
dut2z	douteuse douteuses
duv	douve douves
duzEn	douzaine douzaines
duzjEm	douzième douzièmes
dwaj5	doyen doyens
dRakm	drachme drachmes
dRakonj5	draconien draconiens
dRakonjEn	draconienne draconiennes
dRaZwaR	drageoir drageoirs
dRag9R	dragueur dragueurs
dRaZe	dragée dragées
dRaj	drailles dry
dR5	drain drains
dREnaZ	drainage drainages
dREnE	drainaient drainait
dREn	draine drainent
dRakaR	drakkar drakkars
dRamatik	dramatique dramatiques
dRamatyRZ	dramaturge dramaturges
dRam	drame drames
dRa	drap draps
dRap	drape drapent
dRapo	drapeau drapeaux
dRap°Ri	draperie draperies
dRapje	drapier drapiers
dRastik	drastique drastiques
dREsa	dressa dressât
dREsaZ	dressage dressages
dREs°Ra	dressera dresseras
dREs°R§	dresserons dresseront
dREs9R	dresseur dresseurs
dREswaR	dressoir dressoirs
dREfyzaR	dreyfusard dreyfusards
dRiblE	dribblais dribblait
dRift9R	drifter drifters
dRij	drille drilles
dR5k	drink drinks
dRis	drisse drisses
dRajv9R	driver drivers
dROgman	drogman drogmans
dROg°Ri	droguerie drogueries
dRogist	droguiste droguistes
dRwa	droit droits
dRwat	droite droites
dRwatje	droitier droitiers
dRolatik	drolatique drolatiques
dRomadER	dromadaire dromadaires
dRom	drome dromes
dRon	drone drones
dRozofil	drosophile drosophiles
dR9gstOR	drugstore drugstores
dR8id	druide druides
dR8idEs	druidesse druidesses
dR8idik	druidique druidiques
dRyz	druze druzes
dRijad	dryade dryades
dRol	drôle drôles
dRol°Ri	drôlerie drôleries
dRolEs	drôlesse drôlesses
dybitatif	dubitatif dubitatifs
dybitasj§	dubitation dubitations
dybitativ	dubitative dubitatives
dyk	duc ducs
dykas	ducasse ducasses
dyka	ducat ducats
dutSe	duce duces
dySEs	duchesse duchesses
d8El	duel duels
d8Elist	duelliste duellistes
dyn	dune dunes
dynEt	dunette dunettes
d8o	duo duos
d8odenal	duodénal duodénale
dyp°Ra	dupera duperas
dyp°Ri	duperie duperies
dyplikat9R	duplicateur duplicateurs
dyRa	dura durât
dyRabl	durable durables
dyRE	duraient durait
dyRaj	duraille durailles
dyRsiR	durcir durcirent
dyRsis	durcisse durcissent
dyR°Ra	durera dureras
dyR°te	dureté duretés
dyRij§	durillon durillons
dyvE	duvet duvets
dyv°t2z	duveteuse duveteuses
dik	dyke dykes
dinamik	dynamique dynamiques
dinamit9R	dynamiteur dynamiteurs
dinamo	dynamo dynamos
dinasti	dynastie dynasties
dis@t°Ri	dysenterie dysenteries
dis@teRik	dysentérique dysentériques
dispneik	dyspnéique dyspnéiques
dES	dèche dèches
de@bylasj§	déambulation déambulations
de@bylatwaR	déambulatoire déambulatoires
de@byl	déambule déambulent
debagul	débagoule débagoules
debalaZ	déballage déballages
debal	déballe déballent
debalone	déballonner déballonné
deb@d	débande débandent
debaRbo	débarbot débarbots
debaRkadER	débarcadère débarcadères
debaRdaZ	débardage débardages
debaRde	débarder débardée
debaRd9R	débardeur débardeurs
debaRul	débaroule débaroulent
debaRk°m@	débarquement débarquements
debaRk°Ra	débarquera débarqueras
debaRk°R§	débarquerons débarqueront
debaRa	débarra débarras
debaRasa	débarrassa débarrassât
debaRas°Ra	débarrassera débarrasseras
debaRas°R§	débarrasserons débarrasseront
deba	débat débats
debat	débatte débattent
deboSE	débauchais débauchait
deboS	débauche débauches
deboS9R	débaucheur débaucheurs
debEkt	débecte débectent
debil	débile débiles
debilit@t	débilitante débilitantes
debin°Ra	débinera débineras
debin°RE	débinerai débinerait
debi	débit débits
debit@	débitant débitants
debit°RE	débiterai débiterait
debit9R	débiteur débiteurs
deblejE	déblayaient déblayait
deblEj9R	déblayeur déblayeurs
deblokaZ	déblocage déblocages
debloka	débloqua débloquât
debwaR	déboire déboires
deb§de	débonder débondé
debonER	débonnaire débonnaires
debORda	déborda débordât
debORd@	débordant débordants
debORd@t	débordante débordantes
debORd	déborde débordent
debORd°m@	débordement débordements
debORd°RE	déborderaient déborderait
debuS	débouche débouchent
debuS9R	déboucheur déboucheurs
debuSwaR	débouchoir débouchoirs
debuklE	débouclaient débouclait
debukl	déboucle débouclent
debul	déboule déboulent
debul°RE	déboulerais déboulerait
debutona	déboutonna déboutonnât
debutOn	déboutonne déboutonnent
debRagEt	débraguette débraguettent
debR@S	débranche débranchent
debREjaZ	débrayage débrayages
debRid°RE	débriderai débriderait
debRuja	débrouilla débrouillât
debRujaR	débrouillard débrouillards
debRuj°Ra	débrouillera débrouilleras
debRuj°R§	débrouillerons débrouilleront
debRusaje	débroussailler débroussaillé
