walk_type	sound_score	meaning_weight	next_sound_score	start	sound_fr	echo_en	echo_fr	trace
sound->meaning->sound	0.833	0.95	1.0	en:role	fr:rôles	en:role	fr:roll	en:role -> fr:rôles -> en:role -> fr:roll
sound->meaning->sound	0.833	0.95	1.0	en:roll	fr:rôle	en:role	fr:roll	en:roll -> fr:rôle -> en:role -> fr:roll
sound->meaning->sound	0.833	0.95	1.0	en:roll	fr:rôles	en:role	fr:roll	en:roll -> fr:rôles -> en:role -> fr:roll
sound->meaning->sound	0.881	0.95	0.947	en:platform	fr:plateforme	en:platform	fr:plat sommes	en:platform -> fr:plateforme -> en:platform -> fr:plat sommes
sound->meaning->sound	0.881	0.95	0.947	en:platform	fr:plateformes	en:platform	fr:plat sommes	en:platform -> fr:plateformes -> en:platform -> fr:plat sommes
sound->meaning->sound	0.822	0.95	1.0	en:breeds	fr:brise	en:breeze	fr:brise	en:breeds -> fr:brise -> en:breeze -> fr:brise
sound->meaning->sound	0.822	0.95	1.0	en:chest	fr:test	en:test	fr:test	en:chest -> fr:test -> en:test -> fr:test
sound->meaning->sound	0.822	0.95	1.0	en:chest	fr:tests	en:test	fr:test	en:chest -> fr:tests -> en:test -> fr:test
sound->meaning->sound	0.822	0.95	1.0	en:enemy	fr:ennemie	en:enemy	fr:ennemies	en:enemy -> fr:ennemie -> en:enemy -> fr:ennemies
sound->meaning->sound	0.822	0.95	1.0	en:enemy	fr:ennemis	en:enemy	fr:ennemies	en:enemy -> fr:ennemis -> en:enemy -> fr:ennemies
sound->meaning->sound	0.822	0.95	1.0	en:excel	fr:excès	en:excess	fr:ex ès	en:excel -> fr:excès -> en:excess -> fr:ex ès
sound->meaning->sound	0.822	0.95	1.0	en:excess	fr:excès	en:excess	fr:ex ès	en:excess -> fr:excès -> en:excess -> fr:ex ès
sound->meaning->sound	0.822	0.95	1.0	en:expressed	fr:exprès	en:express	fr:expresse	en:expressed -> fr:exprès -> en:express -> fr:expresse
sound->meaning->sound	0.822	0.95	1.0	en:forum	fr:forme	en:form	fr:forme	en:forum -> fr:forme -> en:form -> fr:forme
sound->meaning->sound	0.822	0.95	1.0	en:forum	fr:formes	en:form	fr:forme	en:forum -> fr:formes -> en:form -> fr:forme
sound->meaning->sound	1.0	0.95	0.822	en:gean	fr:jean	en:jeans	fr:gin	en:gean -> fr:jean -> en:jeans -> fr:gin
sound->meaning->sound	1.0	0.95	0.822	en:gene	fr:jean	en:jeans	fr:gin	en:gene -> fr:jean -> en:jeans -> fr:gin
sound->meaning->sound	1.0	0.95	0.822	en:group	fr:groupe	en:groups	fr:group	en:group -> fr:groupe -> en:groups -> fr:group
sound->meaning->sound	1.0	0.95	0.822	en:group	fr:groupes	en:groups	fr:group	en:group -> fr:groupes -> en:groups -> fr:group
sound->meaning->sound	0.822	0.95	1.0	en:groups	fr:groupe	en:group	fr:groupe	en:groups -> fr:groupe -> en:group -> fr:groupe
sound->meaning->sound	0.822	0.95	1.0	en:groups	fr:groupes	en:group	fr:groupe	en:groups -> fr:groupes -> en:group -> fr:groupe
sound->meaning->sound	1.0	0.95	0.822	en:les	fr:laisse	en:lets	fr:laid anses	en:les -> fr:laisse -> en:lets -> fr:laid anses
sound->meaning->sound	1.0	0.95	0.822	en:less	fr:laisse	en:lets	fr:laid anses	en:less -> fr:laisse -> en:lets -> fr:laid anses
sound->meaning->sound	1.0	0.95	0.822	en:lesser	fr:laisse	en:lets	fr:laid anses	en:lesser -> fr:laisse -> en:lets -> fr:laid anses
sound->meaning->sound	1.0	0.95	0.822	en:liner	fr:line	en:lines	fr:line	en:liner -> fr:line -> en:lines -> fr:line
sound->meaning->sound	1.0	0.95	0.822	en:lord	fr:lord	en:lords	fr:lord	en:lord -> fr:lord -> en:lords -> fr:lord
