src	dst	hops	quality	chain
bastard	attestée	6	0.928	en:bastard ≈ fr:passent aide ~ fr:assiste ≈ en:artiste ~ en:artist ≈ fr:atteste ~ fr:attestée
bathroom	battu	6	0.916	en:bathroom ≈ fr:bat rhume ~ fr:bat noces ≈ en:partners ~ en:partner ≈ fr:bat né ~ fr:battu
bathroom	bat né	5	0.909	en:bathroom ≈ fr:bat rhume ~ fr:bat noces ≈ en:partners ~ en:partner ≈ fr:bat né
bathroom	partenaires	4	0.902	en:bathroom ≈ fr:bat rhume ~ fr:bat noces ≈ en:partners ~ fr:partenaires
baulked	bauer	4	0.964	en:baulked ≈ fr:box ~ fr:boxe ≈ en:baulks ~ fr:bauer
baulked	boxe	2	0.961	en:baulked ≈ fr:box ~ fr:boxe
baulked	boîte	2	0.958	en:baulked ≈ fr:box ~ fr:boîte
baulks	honoraires	6	0.964	en:baulks ≈ fr:boxe ~ fr:box ≈ en:pecs ~ fr:fies ≈ en:fee = fr:honoraires
baulks	redevance	6	0.964	en:baulks ≈ fr:boxe ~ fr:box ≈ en:pecs ~ fr:fies ≈ en:fee = fr:redevance
baulks	cost	6	0.956	en:baulks ≈ fr:boxe ~ fr:box ≈ en:pecs ~ fr:fies ≈ en:fee ~ fr:cost
bawdry	body	2	0.987	en:bawdry ~ en:bawdy ≈ fr:body
bawdy	poteries	3	0.961	en:bawdy ~ en:bawdry ≈ fr:poterie ~ fr:poteries
bawdy	poterie	2	0.963	en:bawdy ~ en:bawdry ≈ fr:poterie
beaches	cut	6	0.917	en:beaches ≈ fr:but chaise ~ fr:coud chaise ≈ en:coaches ~ fr:coach ≈ en:cutch ~ fr:cut
beaches	branches	4	0.934	en:beaches ≈ fr:but chaise ~ fr:bradent chaise ≈ en:branches ~ fr:branches
beaches	coachs	4	0.930	en:beaches ≈ fr:but chaise ~ fr:coud chaise ≈ en:coaches ~ fr:coachs
beading	réunion	2	0.949	en:beading ≈ fr:meeting ~ fr:réunion
beading	réunions	2	0.937	en:beading ≈ fr:meeting ~ fr:réunions
beading	bide	2	0.929	en:beading ~ en:bead ≈ fr:bide
beady	mimi	2	0.915	en:beady ~ en:beamy ≈ fr:mimi
beak	beck	3	0.983	en:beak = fr:bec ≈ en:beck ~ fr:beck
beak	biche	2	0.977	en:beak ≈ fr:bique ~ fr:biche
beak	bistro	2	0.967	en:beak ≈ fr:biques ~ fr:bistro
beaked	biche	3	0.937	en:beaked ~ en:beak ≈ fr:bique ~ fr:biche
beaked	bistro	3	0.930	en:beaked ~ en:beak ≈ fr:biques ~ fr:bistro
beaked	biais	3	0.909	en:beaked ~ en:beak ≈ fr:bic ~ fr:biais
beamy	midi	2	0.915	en:beamy ~ en:beady ≈ fr:midi
bean	gueux	2	0.990	en:bean ≈ fr:bines ~ fr:gueux
bean	bondir	2	0.987	en:bean ≈ fr:binent ~ fr:bondir
beanie	gueux	3	0.966	en:beanie ~ en:bean ≈ fr:bines ~ fr:gueux
beanie	bondir	3	0.964	en:beanie ~ en:bean ≈ fr:binent ~ fr:bondir
beanie	bénir	2	0.976	en:beanie ≈ fr:béni ~ fr:bénir
beat	betterave	4	0.977	en:beat ≈ fr:bites ~ fr:bite ≈ en:beet = fr:betterave
beat	betteraves	4	0.977	en:beat ≈ fr:bites ~ fr:bite ≈ en:beet = fr:betteraves
beat	digue	4	0.963	en:beat ≈ fr:bites = en:dicks ≈ fr:dicte ~ fr:digue
beater	spin	5	0.946	en:beater ~ en:beaters ≈ fr:vitesse ~ fr:speed ≈ en:spin ~ fr:spin
beater	betterave	5	0.945	en:beater ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beet = fr:betterave
beater	betteraves	5	0.945	en:beater ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beet = fr:betteraves
beaters	frise	6	0.935	en:beaters ~ en:beater ≈ fr:bitter ~ fr:triste ≈ en:freest ~ en:frees ≈ fr:frise
beaters	betterave	5	0.945	en:beaters ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beet = fr:betterave
beaters	betteraves	5	0.945	en:beaters ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beet = fr:betteraves
beating	betterave	5	0.953	en:beating ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beet = fr:betterave
beating	betteraves	5	0.953	en:beating ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beet = fr:betteraves
beating	digue	5	0.942	en:beating ~ en:beat ≈ fr:bites = en:dicks ≈ fr:dicte ~ fr:digue
beck	biche	4	0.976	en:beck ≈ fr:bec = en:beak ≈ fr:bique ~ fr:biche
beck	bistro	4	0.971	en:beck ≈ fr:bec = en:beak ≈ fr:biques ~ fr:bistro
beck	biais	4	0.955	en:beck ≈ fr:bec = en:beak ≈ fr:bic ~ fr:biais
becks	bauer	4	0.964	en:becks ≈ fr:box ~ fr:boxe ≈ en:baulks ~ fr:bauer
becks	boxe	2	0.961	en:becks ≈ fr:box ~ fr:boxe
becks	boîte	2	0.958	en:becks ≈ fr:box ~ fr:boîte
bedding	bénisse	2	0.942	en:bedding ≈ fr:bedaine ~ fr:bénisse
bedding	bénévolat	2	0.941	en:bedding ≈ fr:bedaine ~ fr:bénévolat
beef	bis	5	0.963	en:beef ≈ fr:biffent ~ fr:biffer ≈ en:beefy ~ en:bee ≈ fr:bis
beef	bee	4	0.954	en:beef ≈ fr:biffent ~ fr:biffer ≈ en:beefy ~ fr:bee
beef	paon	4	0.938	en:beef ≈ fr:biffes ~ fr:bicoque ≈ en:peacock = fr:paon
beefy	bœuf	4	0.969	en:beefy ≈ fr:biffer ~ fr:biffent ≈ en:beef ~ fr:bœuf
beefy	boeuf	4	0.966	en:beefy ≈ fr:biffer ~ fr:biffent ≈ en:beef = fr:boeuf
beefy	bis	2	0.950	en:beefy ~ en:bee ≈ fr:bis
been	ooh	5	0.957	en:been ~ en:was ≈ fr:ose ~ fr:ou ≈ en:ooh ~ fr:ooh
