ipa	members
afɛkte	affecter affecté affectée affectées affectés
vize	viser visé visée visées visés
ekipe	équiper équipé équipée équipées équipés
apɹɔpɹie	approprier approprié appropriée appropriées appropriés
vaɹje	varier varié variée variées variés
ɹəlje	relier relié reliée reliées reliés
kyltive	cultiver cultivé cultivée cultivées cultivés
detaʃe	détacher détaché détachée détachées détachés
e	ai er et hé
tu	to tou tout toux
fɛɹ	fair faire fer fers
mɔ̃	mon mons mont monts
tɑ̃	tan tant temps tend
ʒɑ̃	gens jan jean jeans
ɡɹɑ̃	gran grand grands grant
vy	vu vue vues vus
dwa	doigt doigts dois doit
mal	mal malle mâle mâles
mɔɹ	mord more mort morts
tɹavaj	travail travaille travaillent travailles
eta	etat etats état états
pɹi	prie pris prit prix
pwɛ̃	poing poings point points
sœl	seul seule seules seuls
ø	eux heu oeufs œufs
vɹɛ	vrai vraie vraies vrais
paɹle	parler parlez parlé parlée
kote	coté cotés côté côtés
pas	pass passe passent passes
pɹɛ	pret près prêt prêts
kɛl	quel quelle quelles quels
py	pu pue pus put
fy	fu fus fut fût
sistɛm	system systems système systèmes
œɹ	eur eure heure heures
mɛjœɹ	meilleur meilleure meilleures meilleurs
pyblik	public publics publique publiques
tɛɹ	taire ter terre terres
byt	but bute buts butte
ami	ami amie amies amis
ekɹi	ecrit écris écrit écrits
ɑ̃plwa	emploi emploie emploient emplois
tɛl	tel telle telles tels
bu	bou boue bout bouts
ɛ̃teɹjœɹ	intérieur intérieure intérieures intérieurs
nwaɹ	noir noire noires noirs
pɛɹdy	perdu perdue perdues perdus
ʃɑ̃ʒe	changer changez changé changée
etyd	etude etudes étude études
pɔst	post poste postes posts
difeɹɑ̃	différend différends différent différents
œvɹ	oeuvre oeuvres œuvre œuvres
maɹi	mari marie marient maris
ɹəɡaɹde	regarder regardez regardé regardée
fini	fini finie finis finit
ot	haute hautes hôte hôtes
maɹk	marc marque marquent marques
ɑ̃tɑ̃dy	entendu entendue entendues entendus
ɹɑ̃	rang rangs rend rends
aɹɛt	arrête arrêtent arrêtes arête
kɔ̃tiny	continu continue continuent continues
otɛl	autel hotel hôtel hôtels
asɑ̃ble	assembler assemblé assemblée assemblées
kɔmɑ̃se	commencer commencez commencé commencée
pɛɹsɔnɛl	personnel personnelle personnelles personnels
medja	media medias média médias
ky	cu cul culs q
edisjɔ̃	edition editions édition éditions
ɹɑ̃dy	rendu rendue rendues rendus
ɹeysi	réussi réussie réussis réussit
ekut	ecoute écoute écoutent écoutes
plɛn	plaine plaines pleine pleines
tuʃ	touch touche touchent touches
diɹɛkt	direct directe directes directs
fytyɹ	futur future futures futurs
paɹɛj	pareil pareille pareilles pareils
vəny	venu venue venues venus
kɹy	cru crue crues crus
ɹɑ̃tɹe	rentrer rentré rentrée rentrés
sypeɹjœɹ	supérieur supérieure supérieures supérieurs
vɑ̃	vend vends vent vents
ʃo	chaud chauds chaux cho
ɛksteɹjœɹ	extérieur extérieure extérieures extérieurs
aktyɛl	actuel actuelle actuelles actuels
pɹevy	prévu prévue prévues prévus
nyl	nul nulle nulles nuls
blø	bleu bleue bleues bleus
təny	tenu tenue tenues tenus
mas	mas mass masse masses
am	am ame âme âmes
ɹɔm	rhum rom rome roms
natyɹɛl	naturel naturelle naturelles naturels
ekute	ecoutez écouter écoutez écouté
bwat	boite boites boîte boîtes
tɑ̃t	tante tente tentent tentes
ɔfisjɛl	officiel officielle officielles officiels
ɹeɛl	réel réelle réelles réels
tɑ̃te	tenter tentez tenté tentés
sivil	civil civile civiles civils
