word	variant	zipf
greeting	greets	3.12
greeting	greeted	3.66
greeting	greetings	3.67
greeting	greet	3.73
industry	industries	4.42
injury	injuries	4.44
inspector	inspectors	3.63
install	installed	4.40
install	installs	2.95
install	instals	0.00
install	instal	2.00
install	installing	3.71
installed	installs	2.95
installed	instals	0.00
installed	instal	2.00
installed	installing	3.71
installed	install	4.14
instructor	instructors	3.57
interest	interests	4.66
interest	interesting	5.00
interest	interested	4.95
interested	interests	4.66
interested	interesting	5.00
interested	interest	5.17
internet	internets	2.48
intriguing	intrigue	3.36
intriguing	intrigues	2.89
intriguing	intrigued	3.47
irked rah	irking rah	1.68
irked rah	irks rah	2.58
irked rah	irk rah	2.38
irked raw	irk raw	2.38
irked raw	irking raw	1.68
irked raw	irks raw	2.58
irked rim	irked rimmed	2.76
irked rim	irked rimming	2.30
irked rim	irk rim	2.38
irked rim	irked rims	3.22
irked rim	irks rim	2.58
irked rim	irking rim	1.68
it attack	it attacking	4.29
it attack	it attacked	4.52
it attack	it attacks	4.68
it aura	it aurae	0.00
it aura	it auras	2.37
item	items	4.78
judges	judged	3.96
judges	judging	4.05
judges	judge	4.95
kidney	kidneys	3.49
kisses	kissing	3.97
kisses	kiss	4.58
kisses	kissed	3.95
landlord	landlords	3.57
larger	largest	4.90
larger	large	5.39
largest	larger	4.82
largest	large	5.39
lawsuit	lawsuits	3.63
leaders	leader	4.95
leases	leased	3.62
leases	lease	4.17
leases	leasing	3.55
lecture	lectured	3.04
lecture	lecturing	3.14
lecture	lectures	3.96
lecturer	lecturers	3.14
lectures	lectured	3.04
lectures	lecturing	3.14
lectures	lecture	4.14
legion	legions	3.28
lender	lenders	3.67
lenders	lender	3.64
lending	lends	3.36
lending	lend	3.92
lending	lent	3.75
lenses	lensed	1.88
lenses	lens	4.17
lenses	lense	2.28
lenses	lensing	2.30
lesson	lessons	4.38
lethal	lethals	1.54
letters	lettered	2.69
letters	letter	4.95
letters	lettering	3.19
letting	lets	4.51
letting	let	5.60
levy	levying	2.44
levy	levied	3.22
levy	levies	3.02
liberties	liberty	4.34
listed	listing	4.32
listed	list	5.28
listed	lists	4.38
losers	loser	4.01
loses	lost	5.39
loses	lose	5.08
loses	losing	4.85
losses	loss	5.07
mad in	maddest in	2.02
mad in	madder in	2.59
manners meant	manners meanest	2.87
manners meant	manners means	5.44
manners meant	manner meant	4.55
manners meant	manners meaning	4.87
manners meant	manners meaner	2.66
manners meant	manners mean	5.53
masses	massed	2.83
masses	mass	4.87
masses	massing	2.65
master	mastered	3.57
master	mastering	3.43
master	masters	4.35
matches	match	5.13
matches	matched	4.01
matches	matching	4.10
matters	mattering	2.03
matters	matter	5.38
