word	variant	zipf
barb	barbait	0.00
barb	barbent	0.00
barb	barbaient	0.00
barbari	barbarie	3.66
barbari	barbaries	2.08
barbarie	barbaries	2.08
barbaries	barbarie	3.66
barbe	barbes	3.06
barbe	barber	2.86
barbe	barba	2.49
barbe	barbant	2.31
barbe	barbé	2.27
barbe	barbait	0.00
barbe	barbent	0.00
barbes	barbe	4.20
barbie	barbier	3.58
barbie	barbies	2.14
barbies	barbie	3.50
barc	barca	2.87
barde	bardé	2.43
barde	bardes	2.41
barde	barda	2.34
barde	barder	2.30
barde	bardait	0.00
bardes	barde	2.93
barg	barge	3.08
barg	barges	2.71
barm	barma	2.05
barque	barques	2.96
barques	barque	3.51
barre	barres	3.99
barre	barré	3.71
barre	barrer	3.63
barre	barra	2.89
barre	barrez	2.70
barre	barrent	2.68
barre	barrant	2.39
barre	barrait	2.29
barreau	barreaux	3.59
barrette	barrettes	2.78
barrettes	barrette	3.32
barri	barrie	2.76
barri	barrier	2.39
barri	barris	2.23
barrie	barrier	2.39
barris	barri	2.12
barème	barèmes	2.73
basque	basques	3.37
basques	basque	3.86
bast	basta	3.23
bast	bastons	2.40
bast	baste	2.08
baste	basta	3.23
basti	bastia	3.86
basti	bastions	3.17
basti	bastié	2.36
batiste	batista	2.91
batte	battent	4.01
batte	battant	3.85
batte	battait	3.51
batte	battez	3.24
batte	battes	2.62
battes	batte	3.37
baume	baumes	2.42
baumes	baume	3.54
bave	baver	3.15
bave	bavé	2.70
bave	bavent	2.38
bave	baves	2.19
bave	bava	2.11
bave	bavant	2.10
bave	bavait	1.81
bave	bavez	1.64
beatniks	beatnik	1.91
beau	beaux	4.82
beauf	beaufs	2.95
beauté	beautés	3.48
bec	becs	2.99
becc	becca	2.38
beccari	beccaria	2.32
beck	becker	3.25
becs	bec	3.99
bedaine	bedaines	1.16
bel	bela	2.68
bel	belons	0.00
belge	belges	4.24
belge	belga	2.56
belges	belge	4.56
beli	belier	2.13
bella	bellas	2.25
bellas	bella	3.69
belle	belles	4.76
belle	bella	3.69
beller	belle	5.31
beller	belles	4.76
beller	bella	3.69
belles	belle	5.31
belli	bellier	2.10
bellis	belli	2.81
belmont	belmonte	2.13
belvédère	belvédères	2.13
belvédères	belvédère	3.11
ben	bene	3.11
ben	bena	2.04
bene	bena	2.04
benn	benne	3.12
benn	bennes	2.76
benne	bennes	2.76
benner	benne	3.12
benner	bennes	2.76
bennes	benne	3.12
benni	bennie	2.05
bens	ben	5.01
bentos	bento	2.73
berr	berre	2.68
berr	berra	2.19
berre	berra	2.19
besser	besse	2.83
besser	bessons	1.23
besson	bessons	1.23
bessons	besson	3.49
best	beste	2.39
bestial	bestiale	2.38
bestial	bestiales	1.80
bestiale	bestiales	1.80
bestiales	bestiale	2.38
bestsellers	bestseller	2.23
bet	beta	3.48
bet	bete	2.93
bet	betes	2.33
bet	bets	2.02
bete	beta	3.48
bete	betes	2.33
betes	bete	2.93
bets	bet	3.10
bett	better	3.39
bett	bette	2.90
bett	betts	2.23
bett	bettez	2.06
bett	bettes	1.75
bette	better	3.39
bette	bettez	2.06
bette	bettes	1.75
bettes	bette	2.90
bfs	bf	3.12
bi	bis	3.93
bi	bias	2.71
bi	bie	2.70
bi	bia	2.60
bi	bier	2.28
bi	bient	2.04
bibi	bibis	1.60
bibis	bibi	3.28
biche	biches	2.67
biche	bicher	1.22
biche	bichez	0.00
biche	biché	0.00
biche	bichait	0.00
bichonne	bichonner	2.15
bichonne	bichonné	1.65
bichonne	bichonnez	0.00
bicoque	bicoques	1.67
bide	bides	1.88
bides	bide	3.35
bidet	bidets	1.96
