word	variant	zipf
ballerina	ballerinas	2.49
ballerinas	ballerina	3.10
balling	ball	5.04
balling	balls	4.52
balling	balled	2.73
balls	ball	5.04
balls	balling	2.76
balls	balled	2.73
banker	bankers	3.77
barb	barbed	3.27
barb	barbs	2.81
barb	barbing	0.00
barbe	barbes	1.28
barbed	barb	3.31
barbed	barbs	2.81
barbed	barbing	0.00
barbes	barbe	2.09
barbing	barb	3.31
barbing	barbed	3.27
barbing	barbs	2.81
barbs	barb	3.31
barbs	barbed	3.27
barbs	barbing	0.00
bard	bards	2.70
bard	barding	1.19
bard	barded	0.00
barded	bard	3.34
barded	bards	2.70
barded	barding	1.19
barding	bard	3.34
barding	bards	2.70
barding	barded	0.00
bards	bard	3.34
bards	barding	1.19
bards	barded	0.00
bare	baring	2.97
bare	bared	2.64
bare	bares	2.50
bare	barest	2.31
bare	barer	1.63
barer	bare	4.18
barer	baring	2.97
barer	bared	2.64
barer	bares	2.50
barer	barest	2.31
bark	barking	3.51
bark	barks	3.01
bark	barked	2.79
barked	bark	3.85
barked	barking	3.51
barked	barks	3.01
barking	bark	3.85
barking	barks	3.01
barking	barked	2.79
barks	bark	3.85
barks	barking	3.51
barks	barked	2.79
barman	barmen	1.90
barmen	barman	2.77
barrier	barriers	4.01
baseball	baseballs	2.45
baseballs	baseball	4.54
based	base	5.05
based	bases	4.18
based	basing	3.23
based	baser	2.14
based	basest	2.00
basest	based	5.51
basest	base	5.05
basest	bases	4.18
basest	basing	3.23
basest	baser	2.14
bash	bashing	3.45
bash	bashed	3.10
bash	bashes	2.50
basis	bases	4.18
basket	baskets	3.45
basket	basketing	0.00
basket	basketed	0.00
bassi	basso	2.44
bassi	bassos	0.00
bastard	bastards	3.63
bat	batting	3.84
bat	bats	3.82
bat	batted	3.19
batch	batches	3.23
batch	batching	2.05
batch	batched	1.59
bathroom	bathrooms	3.67
battle	battles	4.18
battle	battling	3.69
battle	battled	3.27
baud	bauds	0.00
bauds	baud	2.33
baulk	baulked	1.68
baulk	baulks	1.43
baulk	baulking	1.05
baulked	baulk	2.10
baulked	baulks	1.43
baulked	baulking	1.05
baulking	baulk	2.10
baulking	baulked	1.68
baulking	baulks	1.43
baulks	baulk	2.10
baulks	baulked	1.68
baulks	baulking	1.05
bawdier	bawdy	2.56
bawdier	bawdiest	0.00
bawdy	bawdiest	0.00
bawdy	bawdier	0.00
bawl	bawling	2.76
bawl	bawled	2.34
bawl	bawls	1.64
bawled	bawling	2.76
bawled	bawl	2.32
bawled	bawls	1.64
bawling	bawled	2.34
bawling	bawl	2.32
bawling	bawls	1.64
bawls	bawling	2.76
bawls	bawled	2.34
bawls	bawl	2.32
bay	bays	3.32
bay	baying	2.27
bay	bayed	1.60
bayed	bay	4.73
bayed	bays	3.32
bayed	baying	2.27
baying	bay	4.73
baying	bays	3.32
baying	bayed	1.60
bays	bay	4.73
bays	baying	2.27
bays	bayed	1.60
be	is	7.07
be	was	6.82
be	are	6.74
be	were	6.34
be	been	6.27
be	being	5.95
be	am	5.78
beaches	beach	4.92
beaches	beached	2.61
beaches	beaching	1.91
bead	beads	3.69
bead	beaded	3.06
bead	beading	2.48
beaded	beads	3.69
beaded	bead	3.44
beaded	beading	2.48
beadier	beady	2.48
beadier	beadiest	0.00
beading	beads	3.69
beading	bead	3.44
beading	beaded	3.06
beads	bead	3.44
beads	beaded	3.06
beads	beading	2.48
beady	beadiest	0.00
beady	beadier	0.00
beak	beaks	2.74
beaks	beak	3.30
bean	beans	4.14
beans	bean	3.98
beast	beasts	3.70
beasts	beast	4.29
beat	beating	4.43
beat	beats	4.22
beat	beaten	4.21
beaten	beat	5.01
beaten	beating	4.43
beaten	beats	4.22
beater	beaters	2.75
beaters	beater	3.09
beats	beat	5.01
beats	beating	4.43
beats	beaten	4.21
beau	beaux	2.73
beau	beaus	1.73
beaus	beau	3.58
beaus	beaux	2.73
beauties	beauty	4.75
beauty	beauties	3.39
beaux	beau	3.58
beaux	beaus	1.73
became	become	5.40
became	becomes	4.83
became	becoming	4.81
beckon	beckons	2.72
beckon	beckoning	2.63
beckon	beckoned	2.51
beckoned	beckons	2.72
beckoned	beckoning	2.63
beckoned	beckon	2.39
beckoning	beckons	2.72
beckoning	beckoned	2.51
beckoning	beckon	2.39
beckons	beckoning	2.63
beckons	beckoned	2.51
beckons	beckon	2.39
become	became	5.15
become	becomes	4.83
become	becoming	4.81
bed	beds	4.17
bed	bedding	3.40
bed	bedded	2.64
bedded	bed	5.07
bedded	beds	4.17
bedded	bedding	3.40
bedding	bed	5.07
bedding	beds	4.17
bedding	bedded	2.64
bedding	beddings	1.36
bedroom	bedrooms	3.72
beds	bed	5.07
beds	bedding	3.40
beds	bedded	2.64
bee	bees	3.96
beef	beefing	2.61
beef	beefed	2.53
beef	beefs	2.37
beef	beeves	1.47
beefed	beef	4.29
beefed	beefing	2.61
beefed	beefs	2.37
beefed	beeves	1.47
beefier	beefy	2.74
beefier	beefiest	0.00
beefiest	beefy	2.74
beefiest	beefier	1.74
beefing	beef	4.29
beefing	beefed	2.53
beefing	beefs	2.37
beefing	beeves	1.47
beefs	beef	4.29
beefs	beefing	2.61
beefs	beefed	2.53
beefs	beeves	1.47
beefy	beefier	1.74
beefy	beefiest	0.00
been	is	7.07
been	was	6.82
been	be	6.79
been	are	6.74
been	were	6.34
been	being	5.95
been	am	5.78
beep	beeps	2.73
beep	beeping	2.69
beep	beeped	2.23
beeped	beep	3.45
beeped	beeps	2.73
beeped	beeping	2.69
beeping	beep	3.45
beeping	beeps	2.73
beeping	beeped	2.23
beeps	beep	3.45
beeps	beeping	2.69
beeps	beeped	2.23
bees	bee	4.09
beet	beets	3.07
beets	beet	3.05
beeves	beef	4.29
beeves	beefing	2.61
beeves	beefed	2.53
beeves	beefs	2.37
beg	begging	3.93
beg	begged	3.58
beg	begs	3.38
began	beginning	5.00
began	begin	4.84
began	begins	4.62
began	begun	4.36
begged	beg	4.05
begged	begging	3.93
begged	begs	3.38
begging	beg	4.05
begging	begged	3.58
begging	begs	3.38
begin	began	5.07
begin	beginning	5.00
begin	begins	4.62
begin	begun	4.36
begs	beg	4.05
begs	begging	3.93
begs	begged	3.58
begun	began	5.07
begun	beginning	5.00
begun	begin	4.84
begun	begins	4.62
behave	behaved	3.59
behave	behaving	3.51
behave	behaves	3.25
being	is	7.07
being	was	6.82
being	be	6.79
being	are	6.74
being	were	6.34
being	been	6.27
being	am	5.78
being	beings	4.19
beings	being	5.95
bell	bells	3.90
bell	belling	2.02
bell	belled	1.29
belled	bell	4.59
belled	bells	3.90
belled	belling	2.02
bellied	belly	4.10
bellied	bellies	2.91
bellied	bellying	1.05
bellies	belly	4.10
bellies	bellied	2.71
bellies	bellying	1.05
belling	bell	4.59
belling	bells	3.90
belling	belled	1.29
bells	bell	4.59
bells	belling	2.02
bells	belled	1.29
belly	bellies	2.91
belly	bellied	2.71
belly	bellying	1.05
bellying	belly	4.10
bellying	bellies	2.91
bellying	bellied	2.71
belong	belongs	4.24
belong	belonging	4.05
belong	belonged	4.01
belonged	belong	4.38
belonged	belongs	4.24
belonged	belonging	4.05
belonging	belong	4.38
belonging	belongs	4.24
belonging	belonged	4.01
belongs	belong	4.38
belongs	belonging	4.05
belongs	belonged	4.01
benchmark	benchmarks	3.27
benchmark	benchmarking	2.74
benchmark	benchmarked	2.06
benchmarked	benchmark	3.60
benchmarked	benchmarks	3.27
